'id';'servings';'type';'log_date';'food';'user_id';'mood';'weight';'protein';'cals';'fat';'carbs'
'34550';'3';'snack';'2017-05-16 00:00:00.000000';'CEREALS RTE,GENERAL MILLS,REESE\'S PUFFS';'1';'sleepy';'213';'7';'413';'11';'76'
'34551';'2';'breakfast';'2017-05-17 00:00:00.000000';'WAFFLES,CHOC CHIP,FRZ,RTH';'1';'ambivalent';'204';'6';'297';'10';'46'
'34552';'2';'dinner';'2017-05-17 00:00:00.000000';'BEEF,RND,TOP RND STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'sleepy';'204';'24';'121';'3';'0'
'34553';'1';'breakfast_drink';'2017-05-17 00:00:00.000000';'BEVERAGES,CHOC MALT PDR,PREP W/ 1% MILK,FORT';'1';'motivated';'204';'3';'57';'1';'9'
'34554';'1';'lunch';'2017-05-17 00:00:00.000000';'BURGER KING,DOUBLE WHOPPER,NO CHS';'1';'grumpy';'204';'14';'252';'16';'14'
'34555';'1';'lunch_drink';'2017-05-17 00:00:00.000000';'BEVERAGES,CARB,LIMEADE,HI CAFFEINE';'1';'grumpy';'204';'0';'18';'0';'4'
'34556';'2';'dinner_drink';'2017-05-17 00:00:00.000000';'BEVERAGES,ABBOTT,EAS SOY PROT PDR';'1';'grumpy';'204';'48';'405';'4';'44'
'34557';'3';'snack';'2017-05-17 00:00:00.000000';'CANDIES,REESE\'S PIECES CANDY';'1';'ambivalent';'204';'12';'497';'25';'60'
'34558';'2';'breakfast';'2017-05-18 00:00:00.000000';'WAFFLE,PLN,FRZ,RTH,MICROWAVE';'1';'agitated';'196';'7';'298';'10';'45'
'34559';'2';'dinner';'2017-05-18 00:00:00.000000';'PORK,CURED,SALT PORK,RAW';'1';'agitated';'196';'5';'748';'81';'0'
'34560';'1';'breakfast_drink';'2017-05-18 00:00:00.000000';'BEVERAGES,COFFEE SUB,CRL GRAIN BEV,PDR,PREP W/ WHL MILK';'1';'motivated';'196';'3';'65';'3';'6'
'34561';'3';'lunch';'2017-05-18 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH';'1';'amorous';'196';'12';'228';'9';'25'
'34562';'2';'lunch_drink';'2017-05-18 00:00:00.000000';'BEVERAGES,CARB,LEMON-LIME SODA,NO CAFFEINE';'1';'sleepy';'196';'0';'41';'0';'10'
'34563';'2';'dinner_drink';'2017-05-18 00:00:00.000000';'BEVERAGES,KELLOGG\'S SPL K20 PROT PDR';'1';'sleepy';'196';'35';'380';'1';'58'
'34564';'2';'snack';'2017-05-18 00:00:00.000000';'SNACKS,POPCORN,AIR-POPPED (UNSALTED)';'1';'agitated';'196';'12';'382';'4';'78'
'34565';'3';'breakfast';'2017-05-19 00:00:00.000000';'WAFFLE,PLN,FRZ,RTH,MICROWAVE';'1';'agitated';'199';'7';'298';'10';'45'
'34566';'3';'dinner';'2017-05-19 00:00:00.000000';'BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'amorous';'199';'22';'139';'6';'0'
'34567';'3';'breakfast_drink';'2017-05-19 00:00:00.000000';'BEVERAGES,CAROB-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK';'1';'agitated';'199';'3';'75';'3';'9'
'34568';'3';'lunch';'2017-05-19 00:00:00.000000';'BURGER KING,WHOPPER,W/ CHS';'1';'ambivalent';'199';'11';'250';'15';'17'
'34569';'1';'lunch_drink';'2017-05-19 00:00:00.000000';'BEVERAGES,CARB,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS';'1';'ambivalent';'199';'0';'20';'0';'5'
'34570';'2';'dinner_drink';'2017-05-19 00:00:00.000000';'BEVERAGES,KELLOGG\'S SPL K20 PROT PDR';'1';'amorous';'199';'35';'380';'1';'58'
'34571';'3';'snack';'2017-05-19 00:00:00.000000';'CANDIES,REESE\'S NUTRAGEOUS CANDY BAR';'1';'grumpy';'199';'11';'517';'32';'53'
'34572';'1';'breakfast';'2017-05-20 00:00:00.000000';'KELLOGG\'S,EGGO PROT,WAFFLES,HOMESTYLE';'1';'sleepy';'193';'11';'281';'10';'37'
'34573';'2';'dinner';'2017-05-20 00:00:00.000000';'BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8FAT,SEL,RAW';'1';'sleepy';'193';'21';'208';'13';'0'
'34574';'1';'breakfast_drink';'2017-05-20 00:00:00.000000';'BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE';'1';'ambivalent';'193';'1';'15';'1';'1'
'34575';'1';'lunch';'2017-05-20 00:00:00.000000';'MCDONALD\'S,MCCHICKEN SNDWCH (WITHOUT MAYONNAISE)';'1';'motivated';'193';'11';'240';'8';'31'
'34576';'1';'lunch_drink';'2017-05-20 00:00:00.000000';'BEVERAGES,CARB,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE';'1';'sleepy';'193';'0';'0';'0';'0'
'34577';'3';'dinner_drink';'2017-05-20 00:00:00.000000';'BEVERAGES,WHEY PROT PDR ISOLATE';'1';'agitated';'193';'58';'359';'1';'29'
'34578';'2';'snack';'2017-05-20 00:00:00.000000';'SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL';'1';'agitated';'193';'8';'557';'34';'55'
'34579';'1';'breakfast';'2017-05-21 00:00:00.000000';'KASHI,ORIGINAL WAFFLE';'1';'grumpy';'203';'6';'197';'7';'35'
'34580';'3';'dinner';'2017-05-21 00:00:00.000000';'BEEF,RND,TOP RND STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'amorous';'203';'24';'121';'3';'0'
'34581';'2';'breakfast_drink';'2017-05-21 00:00:00.000000';'BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE';'1';'ambivalent';'203';'1';'15';'1';'1'
'34582';'2';'lunch';'2017-05-21 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH';'1';'amorous';'203';'12';'228';'9';'25'
'34583';'1';'lunch_drink';'2017-05-21 00:00:00.000000';'BEVERAGES,CARB,ROOT BEER';'1';'ambivalent';'203';'0';'41';'0';'11'
'34584';'2';'dinner_drink';'2017-05-21 00:00:00.000000';'BEVERAGES,SLIMFAST,MEAL REPLCMNT,HI PROT SHAKE,RTD,3-2-1';'1';'amorous';'203';'7';'58';'3';'1'
'34585';'3';'snack';'2017-05-21 00:00:00.000000';'CANDIES,REESE\'S NUTRAGEOUS CANDY BAR';'1';'sleepy';'203';'11';'517';'32';'53'
'34586';'3';'breakfast';'2017-05-22 00:00:00.000000';'KELLOGG\'S,EGGO PROT,WAFFLES,HOMESTYLE';'1';'motivated';'208';'11';'281';'10';'37'
'34587';'3';'dinner';'2017-05-22 00:00:00.000000';'BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8 FAT,CHOIC,RAW';'1';'agitated';'208';'22';'160';'7';'0'
'34588';'1';'breakfast_drink';'2017-05-22 00:00:00.000000';'BEVERAGES,CHOC DRK,MILK & SOY BSD,READY TO DRK,FORT';'1';'agitated';'208';'4';'101';'2';'17'
'34589';'2';'lunch';'2017-05-22 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLUB SNDWCH';'1';'agitated';'208';'15';'250';'12';'23'
'34590';'1';'lunch_drink';'2017-05-22 00:00:00.000000';'BEVERAGES,CARB,ORANGE';'1';'amorous';'208';'0';'48';'0';'12'
'34591';'2';'dinner_drink';'2017-05-22 00:00:00.000000';'BEVERAGES,PROT PDR WHEY BSD';'1';'agitated';'208';'78';'352';'2';'6'
'34592';'3';'snack';'2017-05-22 00:00:00.000000';'SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL';'1';'ambivalent';'208';'8';'557';'34';'55'
'34593';'2';'breakfast';'2017-05-23 00:00:00.000000';'PANCAKES,PLN,LOFAT,DRY MIX,INCOMPLETE (INCLUDES BUTTERMILK)';'1';'grumpy';'201';'7';'384';'6';'75'
'34594';'2';'dinner';'2017-05-23 00:00:00.000000';'BEEF,TENDERLOIN,STEAK,LN & FAT,1/8 FAT,SEL,CKD,BRLD';'1';'grumpy';'201';'26';'262';'17';'0'
'34595';'2';'breakfast_drink';'2017-05-23 00:00:00.000000';'BEVERAGES,CAROB-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK';'1';'grumpy';'201';'3';'75';'3';'9'
'34596';'2';'lunch';'2017-05-23 00:00:00.000000';'BURGER KING,WHOPPER,W/ CHS';'1';'sleepy';'201';'11';'250';'15';'17'
'34597';'2';'lunch_drink';'2017-05-23 00:00:00.000000';'BEVERAGES,CARB,ROOT BEER';'1';'sleepy';'201';'0';'41';'0';'11'
'34598';'1';'dinner_drink';'2017-05-23 00:00:00.000000';'BEVERAGES,ABBOTT,EAS SOY PROT PDR';'1';'motivated';'201';'48';'405';'4';'44'
'34599';'1';'snack';'2017-05-23 00:00:00.000000';'SNACKS,POPCORN,HOME-PREPARED,OIL-POPPED,UNSALTED';'1';'ambivalent';'201';'9';'500';'28';'58'
'34600';'2';'breakfast';'2017-05-24 00:00:00.000000';'PANCAKES,PLN,LOFAT,DRY MIX,INCOMPLETE (INCLUDES BUTTERMILK)';'1';'sleepy';'196';'7';'384';'6';'75'
'34601';'1';'dinner';'2017-05-24 00:00:00.000000';'BEEF,RIB EYE STEAK/ROAST,BONE-IN,LIP-ON,LN,1/8 FAT,SEL,RAW';'1';'motivated';'196';'22';'155';'8';'0'
'34602';'2';'breakfast_drink';'2017-05-24 00:00:00.000000';'BEVERAGES,STRAWBERRY-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK';'1';'sleepy';'196';'3';'88';'3';'12'
'34603';'3';'lunch';'2017-05-24 00:00:00.000000';'MCDONALD\'S,PREMIUM GRILLED CHICK CLUB SNDWCH';'1';'ambivalent';'196';'17';'221';'8';'20'
'34604';'2';'lunch_drink';'2017-05-24 00:00:00.000000';'BEVERAGES,CARB,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE';'1';'motivated';'196';'0';'0';'0';'0'
'34605';'3';'dinner_drink';'2017-05-24 00:00:00.000000';'BEVERAGES,PROT PDR WHEY BSD';'1';'grumpy';'196';'78';'352';'2';'6'
'34606';'3';'snack';'2017-05-24 00:00:00.000000';'CANDIES,REESE\'S BITES';'1';'motivated';'196';'11';'521';'30';'55'
'34607';'2';'breakfast';'2017-05-25 00:00:00.000000';'PANCAKES,PLN,LOFAT,DRY MIX,INCOMPLETE (INCLUDES BUTTERMILK)';'1';'motivated';'194';'7';'384';'6';'75'
'34608';'2';'dinner';'2017-05-25 00:00:00.000000';'BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8 FAT,CHOIC,RAW';'1';'agitated';'194';'22';'160';'7';'0'
'34609';'2';'breakfast_drink';'2017-05-25 00:00:00.000000';'BEVERAGES,COFFEE,READY TO DRK,VANILLA,LT,MILK BSD,SWTND';'1';'amorous';'194';'2';'36';'1';'4'
'34610';'3';'lunch';'2017-05-25 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLUB SNDWCH';'1';'grumpy';'194';'15';'250';'12';'23'
'34611';'2';'lunch_drink';'2017-05-25 00:00:00.000000';'BEVERAGES,CARB,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS';'1';'motivated';'194';'0';'20';'0';'5'
'34612';'1';'dinner_drink';'2017-05-25 00:00:00.000000';'BEVERAGES,KELLOGG\'S,SPL K PROT SHAKE';'1';'grumpy';'194';'3';'64';'2';'9'
'34613';'3';'snack';'2017-05-25 00:00:00.000000';'CEREALS RTE,GENERAL MILLS,REESE\'S PUFFS';'1';'grumpy';'194';'7';'413';'11';'76'
'34614';'2';'breakfast';'2017-05-26 00:00:00.000000';'PANCAKES,PLN,LOFAT,DRY MIX,INCOMPLETE (INCLUDES BUTTERMILK)';'1';'amorous';'197';'7';'384';'6';'75'
'34615';'1';'dinner';'2017-05-26 00:00:00.000000';'BEEF,TENDERLOIN,STEAK,LN & FAT,1/8 FAT,SEL,CKD,BRLD';'1';'ambivalent';'197';'26';'262';'17';'0'
'34616';'2';'breakfast_drink';'2017-05-26 00:00:00.000000';'BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE';'1';'grumpy';'197';'1';'15';'1';'1'
'34617';'1';'lunch';'2017-05-26 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH';'1';'agitated';'197';'12';'228';'9';'25'
'34618';'2';'lunch_drink';'2017-05-26 00:00:00.000000';'BEVERAGES,CARB,COLA,FAST-FOOD COLA';'1';'amorous';'197';'0';'37';'0';'10'
'34619';'1';'dinner_drink';'2017-05-26 00:00:00.000000';'BEVERAGES,NUTRITIONAL SHAKE MIX,HI PROT,PDR';'1';'agitated';'197';'54';'392';'11';'20'
'34620';'2';'snack';'2017-05-26 00:00:00.000000';'SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL';'1';'grumpy';'197';'8';'557';'34';'55'
'34621';'2';'breakfast';'2017-05-27 00:00:00.000000';'KELLOGG\'S,EGGO PROT,WAFFLES,HOMESTYLE';'1';'amorous';'193';'11';'281';'10';'37'
'34622';'1';'dinner';'2017-05-27 00:00:00.000000';'BEEF,CHK,UND BL POT RST/STEAK,BNL,LN & FAT,0 FAT, SEL, RAW';'1';'amorous';'193';'19';'187';'12';'0'
'34623';'1';'breakfast_drink';'2017-05-27 00:00:00.000000';'BEVERAGES,COFFEE,READY TO DRK,VANILLA,LT,MILK BSD,SWTND';'1';'agitated';'193';'2';'36';'1';'4'
'34624';'2';'lunch';'2017-05-27 00:00:00.000000';'BURGER KING,DOUBLE WHOPPER,NO CHS';'1';'ambivalent';'193';'14';'252';'16';'14'
'34625';'3';'lunch_drink';'2017-05-27 00:00:00.000000';'BEVERAGES,CARB,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS';'1';'sleepy';'193';'0';'20';'0';'5'
'34626';'2';'dinner_drink';'2017-05-27 00:00:00.000000';'BEVERAGES,KELLOGG\'S SPL K20 PROT PDR';'1';'grumpy';'193';'35';'380';'1';'58'
'34627';'3';'snack';'2017-05-27 00:00:00.000000';'CEREALS RTE,GENERAL MILLS,REESE\'S PUFFS';'1';'ambivalent';'193';'7';'413';'11';'76'
'34628';'1';'breakfast';'2017-05-28 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,CHOC CHIP';'1';'agitated';'188';'6';'291';'10';'45'
'34629';'2';'dinner';'2017-05-28 00:00:00.000000';'BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'amorous';'188';'22';'139';'6';'0'
'34630';'2';'breakfast_drink';'2017-05-28 00:00:00.000000';'BEVERAGES,CHOC MALT PDR,PREP W/ 1% MILK,FORT';'1';'motivated';'188';'3';'57';'1';'9'
'34631';'1';'lunch';'2017-05-28 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH';'1';'agitated';'188';'12';'228';'9';'25'
'34632';'2';'lunch_drink';'2017-05-28 00:00:00.000000';'BEVERAGES,CARB,LIMEADE,HI CAFFEINE';'1';'agitated';'188';'0';'18';'0';'4'
'34633';'3';'dinner_drink';'2017-05-28 00:00:00.000000';'BEVERAGES,PROT PDR WHEY BSD';'1';'sleepy';'188';'78';'352';'2';'6'
'34634';'2';'snack';'2017-05-28 00:00:00.000000';'CEREALS RTE,GENERAL MILLS,REESE\'S PUFFS';'1';'sleepy';'188';'7';'413';'11';'76'
'34635';'1';'breakfast';'2017-05-29 00:00:00.000000';'PANCAKES,PLN,LOFAT,DRY MIX,INCOMPLETE (INCLUDES BUTTERMILK)';'1';'ambivalent';'186';'7';'384';'6';'75'
'34636';'3';'dinner';'2017-05-29 00:00:00.000000';'PORK,CURED,SALT PORK,RAW';'1';'amorous';'186';'5';'748';'81';'0'
'34637';'2';'breakfast_drink';'2017-05-29 00:00:00.000000';'BEVERAGES,COFFEE,READY TO DRK,VANILLA,LT,MILK BSD,SWTND';'1';'agitated';'186';'2';'36';'1';'4'
'34638';'2';'lunch';'2017-05-29 00:00:00.000000';'MCDONALD\'S,BIG MAC (WITHOUT BIG MAC SAUCE)';'1';'amorous';'186';'13';'234';'12';'21'
'34639';'2';'lunch_drink';'2017-05-29 00:00:00.000000';'BEVERAGES,CARB,GRAPE SODA';'1';'amorous';'186';'0';'43';'0';'11'
'34640';'3';'dinner_drink';'2017-05-29 00:00:00.000000';'BEVERAGES,NUTRITIONAL SHAKE MIX,HI PROT,PDR';'1';'amorous';'186';'54';'392';'11';'20'
'34641';'1';'snack';'2017-05-29 00:00:00.000000';'SNACKS,POPCORN,AIR-POPPED (UNSALTED)';'1';'motivated';'186';'12';'382';'4';'78'
'34642';'2';'breakfast';'2017-05-30 00:00:00.000000';'WAFFLE,BTTRMLK,FRZ,RTH,MICROWAVED';'1';'sleepy';'177';'7';'289';'9';'44'
'34643';'3';'dinner';'2017-05-30 00:00:00.000000';'BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8 FAT,CHOIC,RAW';'1';'agitated';'177';'22';'160';'7';'0'
'34644';'2';'breakfast_drink';'2017-05-30 00:00:00.000000';'BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE';'1';'agitated';'177';'1';'15';'1';'1'
'34645';'2';'lunch';'2017-05-30 00:00:00.000000';'BURGER KING,WHOPPER,W/ CHS';'1';'ambivalent';'177';'11';'250';'15';'17'
'34646';'2';'lunch_drink';'2017-05-30 00:00:00.000000';'BEVERAGES,CARB,PEPPER-TYPE,CONTAINS CAFFEINE';'1';'agitated';'177';'0';'41';'0';'10'
'34647';'3';'dinner_drink';'2017-05-30 00:00:00.000000';'BEVERAGES,ABBOTT,EAS WHEY PROT PDR';'1';'motivated';'177';'67';'385';'5';'18'
'34648';'3';'snack';'2017-05-30 00:00:00.000000';'CANDIES,HERSHEY,REESESTICKS CRISPY WAFERS,PNUT BUT,MILK CHOC';'1';'ambivalent';'177';'10';'521';'31';'55'
'34649';'1';'breakfast';'2017-05-31 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,CINN TOAST';'1';'amorous';'186';'6';'325';'12';'50'
'34650';'3';'dinner';'2017-05-31 00:00:00.000000';'PORK,CURED,HAM,FAT,BNLESS,UNHTD';'1';'agitated';'186';'8';'515';'53';'2'
'34651';'1';'breakfast_drink';'2017-05-31 00:00:00.000000';'BEVERAGES,CHOC MALT PDR,PREP W/ 1% MILK,FORT';'1';'grumpy';'186';'3';'57';'1';'9'
'34652';'2';'lunch';'2017-05-31 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK CLUB SNDWCH';'1';'grumpy';'186';'15';'250';'12';'23'
